45900 ! K = 79 meter/day							
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
	0.914	0.914	0.914	0.4	5e-06		
